pdga_event_id,name,start_date,end_date,tier,city,state,country
77775,DGPT - Chess.com Invitational presented by Discraft,2/23/2024,2/25/2024,ES,Brooksville,Florida,United States
77758,DGPT+ Prodigy presents WACO,3/7/2024,3/10/2024,ES,Waco,Texas,United States
77759,DGPT - The Open at Austin presented by Flight Factory Discs,3/15/2024,3/17/2024,ES,Austin,Texas,United States
77091,2024 United States Women's Disc Golf Championships presented by Mint Discs,3/21/2024,3/24/2024,M,Round Rock,Texas,United States
77760,DGPT - Texas State Disc Golf Championships - presented by Lone Star Disc,3/29/2024,3/31/2024,ES,Houston,Texas,United States
77761,DGPT - Play It Again Sports Jonesboro Open - presented by Westside Discs,4/12/2024,4/14/2024,ES,Jonesboro,Arkansas,United States
77762,DGPT - Music City Open presented by Lone Star Disc,4/19/2024,4/21/2024,ES,Antioch,Tennessee,United States
77099,2024 PDGA Champions Cup,4/25/2024,4/28/2024,M,Morton,Illinois,United States
77763,DGPT - Dynamic Discs Open,5/3/2024,5/5/2024,ES,Emporia,Kansas,United States
78193,DGPT - Copenhagen Open 2024,5/10/2024,5/12/2024,ES,København SV,,Denmark
77764,DGPT - OTB Open presented by MVP Disc Sports + WGE,5/17/2024,5/19/2024,ES,Stockton,California,United States
77765,DGPT+ 2024 Portland Open presented by Latitude64,5/30/2024,6/2/2024,ES,Portland,Oregon,United States
77766,DGPT - 2024 Beaver State Fling Presented by Innova,6/7/2024,6/9/2024,ES,Estacada,Oregon,United States
78194,DGPT - Turku Open powered by Prodigy,6/14/2024,6/16/2024,ES,Turku,,Finland
78271,DGPT - The Preserve Championship connected by Microsoft Teams,6/21/2024,6/23/2024,ES,Clearwater,Minnesota,United States
78195,DGPT - Swedish Open presented by Kastaplast,6/28/2024,6/30/2024,ES,Boras,,Sweden
77768,DGPT - Trubank Des Moines Challenge Presented by DGA,7/5/2024,7/7/2024,ES,Indianola,Iowa,United States
78196,DGPT - Krokhol Open presented by Latitude 64,7/12/2024,7/14/2024,ES,Oslo,,Norway
77750,2024 European Open presented by Discmania,7/18/2024,7/21/2024,M,Nokia and Tampere,,Finland
78197,DGPT - European Disc Golf Festival,7/26/2024,7/28/2024,ES,Tallinn,Harjumaa,Estonia
77769,DGPT+ Discraft's Ledgestone Open presented by GRIPeq,8/1/2024,8/4/2024,ES,Eureka,Illinois,United States
77771,DGPT - LWS Open at Idlewild presented by Dynamic Discs & The Nati,8/9/2024,8/11/2024,ES,Burlington,Kentucky,United States
71315,2024 PDGA Professional Disc Golf World Championships Presented by Zuca,8/21/2024,8/25/2024,M,Lynchburg,Virginia,United States
77772,DGPT+ Discraft Great Lakes Open presented by Gerrit J Verburg,9/5/2024,9/8/2024,ES,Milford,Michigan,United States
82419,DGPT Playoffs - Discraft's Green Mountain Championship at Smugglers' Notch Resort,9/19/2024,9/22/2024,ES,Smugglers' Notch,Vermont,United States
77773,DGPT Playoffs- MVP Open x OTB,9/26/2024,9/29/2024,ES,Leicester,Massachusetts,United States
77098,2024 United States Disc Golf Championship,10/10/2024,10/13/2024,M,Rock Hill,South Carolina,United States
77774,DGPT Championship presented by Barbasol,10/17/2024,10/20/2024,ES,Charlotte,North Carolina,United States
88276,DGPT - Discraft Supreme Flight Open presented by Florida's Adventure Coast,2/28/2025,3/2/2025,ES,Brooksville,Florida,United States
88277,DGPT - Prodigy presents WACO,3/14/2025,3/16/2025,ES,Waco,Texas,United States
88279,MVP's Open at Austin presented by Flight Factory Discs,3/20/2025,3/23/2025,ES,Austin,Texas,United States
88282,DGPT - MVP Music City Open Presented by Another Round,4/4/2025,4/6/2025,ES,Antioch,Tennessee,United States
88283,DGPT - GRIPeq 43rd Kansas City Wide Open Presented By UnderPar,4/18/2025,4/20/2025,ES,Liberty,Missouri,United States
88638,2025 PDGA Champions Cup Presented by OTB & MVP Disc Sports,5/1/2025,5/4/2025,M,Stockton,California,United States
88284,DGPT - Cascade Challenge,5/16/2025,5/18/2025,ES,Shelton,Washington,United States
88285,DGPT - Konopiště Open,5/23/2025,5/25/2025,ES,Benešov,,Czech Republic
88286,DGPT+ Northwest Disc Golf Championship,5/29/2025,6/1/2025,ES,Portland,Oregon,United States
88287,DGPT - Ale Open presented by Discraft,6/6/2025,6/8/2025,ES,Nol,,Sweden
88357,DGPT - Preserve Championship,6/13/2025,6/15/2025,ES,Clearwater,Minnesota,United States
88651,2025 PDGA United States Women's Championship,6/19/2025,6/22/2025,M,Manitowac,Wisconsin,United States
88288,DGPT - Discmania Challenge presented by TruBank,6/27/2025,6/29/2025,ES,Indianola,Iowa,United States
88289,DGPT - PCS Open,7/4/2025,7/6/2025,ES,Vestnes,,Norway
90652,DGPT - Krokhol Open,7/11/2025,7/13/2025,ES,Siggerud,,Norway
89546,European Disc Golf Festival 2025,7/17/2025,7/20/2025,M,Tallinn,Harjumaa,Estonia
90947,2025 PDGA Professional World Championships,7/26/2025,8/3/2025,M,Nokia,,Finland
88290,DGPT - Turku Open,8/1/2025,8/3/2025,ES,Turku,,Finland
88293,DGPT+ Discraft Ledgestone Open presented by Züca,8/14/2025,8/17/2025,ES,Eureka,Illinois,United States
88294,DGPT - LWS Open at Idlewild,8/22/2025,8/24/2025,ES,Burlington,Kentucky,United States
88296,DGPT - Discraft Great Lakes Open presented by Gerrit J. Verburg Co.,9/4/2025,9/7/2025,ES,Milford,Michigan,United States
88299,DGPT Playoffs - Green Mountain Championship,9/18/2025,9/21/2025,ES,Jeffersonville,Vermont,United States
88301,DGPT Playoffs - MVP Open x OTB,9/25/2025,9/28/2025,ES,Leicester,Massachusetts,United States
88656,2025 United States Disc Golf Championship,10/9/2025,10/12/2025,M,Rock Hill,South Carolina,United States
88302,The 10th Disc Golf Pro Tour Championship presented by Barbasol,10/16/2025,10/19/2025,ES,Forest,Virginia,United States
